Institute,CollegeState,BranchShortcut,DegreeType,Quota,SeatType,Gender,PredictedClosingRank2026,InstituteType,GlobalPrestigeIndex,GlobalBranchPopularity
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,OBC-NCL,Gender-Neutral,20727,GFTI,98,85
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,OBC-NCL (PwD),Gender-Neutral,1474,GFTI,98,85
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,OPEN,Female-only (including Supernumerary),58559,GFTI,98,85
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,OPEN,Gender-Neutral,52390,GFTI,98,85
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,OPEN (PwD),Gender-Neutral,2696,GFTI,98,85
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,SC,Gender-Neutral,11134,GFTI,98,85
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,COMPUTER SCIENCE AND ENGINEERING,BTech,AI,ST,Gender-Neutral,5946,GFTI,98,85
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,COMPUTER SCIENCE AND ENGINEERING,BTech,HS,EWS,Gender-Neutral,18401,GFTI,98,85
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,COMPUTER SCIENCE AND ENGINEERING,BTech,HS,OPEN,Female-only (including Supernumerary),123321,GFTI,98,85
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,COMPUTER SCIENCE AND ENGINEERING,BTech,HS,OPEN,Gender-Neutral,108739,GFTI,98,85
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,COMPUTER SCIENCE AND ENGINEERING,BTech,HS,OPEN (PwD),Gender-Neutral,3703,GFTI,98,85
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,COMPUTER SCIENCE AND ENGINEERING,BTech,HS,SC,Gender-Neutral,24360,GFTI,98,85
"Birla Institute of Technology, Deoghar Off-Campus",JHARKHAND,COMPUTER SCIENCE AND ENGINEERING,BTech,HS,ST,Gender-Neutral,28901,GFTI,98,85
