Institute,AcademicProgramName,Quota,SeatType,Gender,OpeningRank,ClosingRank,Round1OpeningRank,Round1ClosingRank,Round2OpeningRank,Round2ClosingRank,Round3OpeningRank,Round3ClosingRank,Round4OpeningRank,Round4ClosingRank,Round5OpeningRank,Round5ClosingRank,State,StateId,InstituteId,Type,Id
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND M. TECH IT (Dual Degree (MTech/MS)),AI,OPEN (PwD),Female-only (including Supernumerary),906,906,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P84
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND M. TECH IT (Dual Degree (MTech/MS)),AI,OPEN (PwD),Gender-Neutral,617,617,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P85
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND M. TECH IT (Dual Degree (MTech/MS)),AI,SC,Female-only (including Supernumerary),5696,5696,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P86
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND M. TECH IT (Dual Degree (MTech/MS)),AI,SC,Gender-Neutral,3663,3663,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P87
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND M. TECH IT (Dual Degree (MTech/MS)),AI,ST,Female-only (including Supernumerary),2996,2996,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P88
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND M. TECH IT (Dual Degree (MTech/MS)),AI,ST,Gender-Neutral,1676,1676,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P89
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND MBA (Dual Degree (MBA)),AI,EWS,Female-only (including Supernumerary),4085,4085,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P90
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND MBA (Dual Degree (MBA)),AI,EWS,Gender-Neutral,2356,2356,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P91
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND MBA (Dual Degree (MBA)),AI,OBC-NCL,Female-only (including Supernumerary),10401,10401,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P92
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND MBA (Dual Degree (MBA)),AI,OBC-NCL,Gender-Neutral,6671,6671,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P93
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND MBA (Dual Degree (MBA)),AI,OBC-NCL (PwD),Female-only (including Supernumerary),1185,1185,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P94
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND MBA (Dual Degree (MBA)),AI,OPEN,Female-only (including Supernumerary),24345,24345,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P95
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND MBA (Dual Degree (MBA)),AI,OPEN,Gender-Neutral,15366,15366,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P96
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND MBA (Dual Degree (MBA)),AI,OPEN (PwD),Gender-Neutral,800,800,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P97
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND MBA (Dual Degree (MBA)),AI,SC,Female-only (including Supernumerary),5878,5878,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P98
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND MBA (Dual Degree (MBA)),AI,SC,Gender-Neutral,4123,4123,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P99
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND MBA (Dual Degree (MBA)),AI,ST,Female-only (including Supernumerary),2583,2583,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P100
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,INTEGRATED B. TECH.IT AND MBA (Dual Degree (MBA)),AI,ST,Gender-Neutral,2029,2029,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P101
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2684,2825,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P102
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1537,1724,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P103
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),8474,9620,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P104
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3438,4720,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P105
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,MATHEMATICS AND SCIENTIFIC COMPUTING (BTech),AI,OBC-NCL (PwD),Gender-Neutral,505,505,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P106
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),15152,19593,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P107
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,9047,11274,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P108
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,MATHEMATICS AND SCIENTIFIC COMPUTING (BTech),AI,OPEN (PwD),Gender-Neutral,620,620,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P109
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3371,4330,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P110
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2602,3209,0,0,0,0,0,0,0,0,0,0,Madhya Pradesh,5,155,IIIT,155P111
