Institute,AcademicProgramName,Quota,SeatType,Gender,Round1OpeningRank,Round1ClosingRank,Round2OpeningRank,Round2ClosingRank,Round3OpeningRank,Round3ClosingRank,Round4OpeningRank,Round4ClosingRank,Round5OpeningRank,Round5ClosingRank,Round6OpeningRank,Round6ClosingRank,OpeningRank,ClosingRank,State,StateId,InstituteId,Type,Id
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),13772.0,13772.0,14723.0,14723.0,14723.0,14723.0,14723.0,14723.0,14723.0,14723.0,14723.0,14723.0,13772.0,14723.0,Assam,16,181,GFTI,181FHSC
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,13154.0,14268.0,13475.0,14795.0,13475.0,14795.0,13475.0,14851.0,13475.0,14910.0,13475.0,14910.0,13154.0,14910.0,Assam,16,181,GFTI,181MISC
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,5440.0,5877.0,5792.0,6010.0,5792.0,6010.0,5792.0,6010.0,5792.0,6010.0,5877.0,6112.0,5440.0,6112.0,Assam,16,181,GFTI,181MIST
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1938.0,1938.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,1938.0,2137.0,Madhya Pradesh,5,155,IIIT,155FIE
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1014.0,1053.0,1124.0,1299.0,1124.0,1299.0,1124.0,1299.0,1124.0,1299.0,1124.0,1331.0,1014.0,1331.0,Madhya Pradesh,5,155,IIIT,155MIE
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),4902.0,6583.0,4902.0,6583.0,4902.0,6583.0,4902.0,6583.0,4902.0,6583.0,4902.0,6583.0,4902.0,6583.0,Madhya Pradesh,5,155,IIIT,155FION
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2538.0,3233.0,2538.0,3300.0,2538.0,3300.0,2538.0,3300.0,2538.0,3300.0,2583.0,3311.0,2538.0,3311.0,Madhya Pradesh,5,155,IIIT,155MION
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,Madhya Pradesh,5,155,IIIT,155MIONP
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),9323.0,14651.0,9323.0,14827.0,9323.0,14827.0,9323.0,15090.0,9323.0,15090.0,9323.0,15090.0,9323.0,15090.0,Madhya Pradesh,5,155,IIIT,155FIO
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5514.0,7835.0,5514.0,8554.0,5514.0,8554.0,6450.0,8646.0,6450.0,8646.0,6450.0,8728.0,5514.0,8728.0,Madhya Pradesh,5,155,IIIT,155MIO
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Female-only (including Supernumerary),481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,Madhya Pradesh,5,155,IIIT,155FIOP
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,Madhya Pradesh,5,155,IIIT,155MIOP
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2999.0,3715.0,3484.0,4039.0,3484.0,4039.0,3484.0,4039.0,3484.0,4039.0,3484.0,4039.0,2999.0,4039.0,Madhya Pradesh,5,155,IIIT,155FHSC
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1520.0,1905.0,1520.0,2003.0,1520.0,2003.0,1520.0,2003.0,1520.0,2003.0,1520.0,2003.0,1520.0,2003.0,Madhya Pradesh,5,155,IIIT,155MISC
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,Madhya Pradesh,5,155,IIIT,155MISCP
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,Madhya Pradesh,5,155,IIIT,155FIST
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,660.0,933.0,660.0,933.0,660.0,933.0,660.0,933.0,660.0,933.0,660.0,933.0,660.0,933.0,Madhya Pradesh,5,155,IIIT,155MIST
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST (PwD),Gender-Neutral,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,Madhya Pradesh,5,155,IIIT,155MISTP
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),4509.0,4509.0,4546.0,4546.0,4546.0,4546.0,4546.0,4546.0,4546.0,4546.0,4546.0,4546.0,4509.0,4546.0,Madhya Pradesh,5,155,IIIT,155FIE
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,2038.0,2155.0,2155.0,2203.0,2155.0,2203.0,2336.0,2491.0,2336.0,2491.0,2336.0,2491.0,2038.0,2491.0,Madhya Pradesh,5,155,IIIT,155MIE
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),12961.0,13366.0,13108.0,14184.0,13108.0,14184.0,13900.0,14415.0,13900.0,14415.0,13900.0,14415.0,12961.0,14415.0,Madhya Pradesh,5,155,IIIT,155FION
